Time,Date,Contracts,Direction,Strategy,Trader,USD_Amount,Price
16:59:55,2025-08-13,571.2,YES,BUY,"Rogue",571.79,1.0012
16:59:37,2025-08-13,281.7,YES,BUY,"0x8e8A...1845",280.85,0.9971
16:47:29,2025-08-13,220.6,YES,BUY,"Kryptdip",211.34,0.9581
16:59:29,2025-08-13,199.8,YES,BUY,"PHILARMONIA",197.76,0.9899
16:59:53,2025-08-13,188.3,YES,BUY,"0xDc0e...8530",188.26,1.0002
16:57:19,2025-08-13,134.4,NO,SELL,"0x3f45...C6EC",-7.15,0.9468
17:00:07,2025-08-13,132.5,YES,BUY,"0x3f45...C6EC",132.67,1.0017
16:59:53,2025-08-13,108.1,YES,BUY,"siqhenz",107.98,0.9994
16:58:47,2025-08-13,107.4,NO,SELL,"0x3f45...C6EC",-4.05,0.9623
16:57:35,2025-08-13,107.4,NO,BUY,"0x3f45...C6EC",5.00,0.9535
16:48:57,2025-08-13,105.3,NO,BUY,"0xht9",5.00,0.9525
16:53:43,2025-08-13,77.6,NO,BUY,"0x3f45...C6EC",5.00,0.9356
16:38:29,2025-08-13,67.5,YES,BUY,"0x4d60...e830",49.99,0.7413
16:17:27,2025-08-13,57.6,YES,BUY,"Crypto Tariqul",24.99,0.4338
16:46:09,2025-08-13,56.2,YES,SELL,"Crypto Tariqul",-51.78,0.9211
16:49:47,2025-08-13,50.1,NO,BUY,"0x3f45...C6EC",3.00,0.9401
16:52:27,2025-08-13,49.8,NO,SELL,"0x3f45...C6EC",-2.26,0.9546
16:48:19,2025-08-13,46.3,NO,BUY,"0x3f45...C6EC",1.00,0.9784
16:51:15,2025-08-13,44.0,NO,SELL,"0x3f45...C6EC",-3.00,0.9319
16:50:57,2025-08-13,43.8,NO,BUY,"0x3f45...C6EC",3.00,0.9315
16:53:59,2025-08-13,42.8,NO,BUY,"0x3f45...C6EC",5.00,0.8832
16:41:03,2025-08-13,36.6,NO,BUY,"0x3f45...C6EC",5.00,0.8636
16:42:01,2025-08-13,36.6,NO,SELL,"0x3f45...C6EC",-4.97,0.8643
16:59:43,2025-08-13,36.4,YES,BUY,"0x6e82...e82F",36.39,0.9990
16:48:37,2025-08-13,36.2,NO,BUY,"0xddCa...5E34",1.00,0.9724
16:59:13,2025-08-13,35.6,NO,SELL,"0xddCa...5E34",-0.82,0.9770
16:17:57,2025-08-13,34.7,YES,SELL,"0x3f45...C6EC",-16.84,0.4858
16:40:49,2025-08-13,34.6,YES,BUY,"0x59c5...9ae4",29.99,0.8679
16:04:47,2025-08-13,33.7,NO,BUY,"EL CERTIFIED",19.99,0.4070
16:55:49,2025-08-13,33.5,NO,SELL,"0x3f45...C6EC",-5.00,0.8509
16:50:15,2025-08-13,32.0,YES,BUY,"0xddCa...5E34",29.99,0.9379
16:09:35,2025-08-13,31.8,NO,BUY,"ChaJungKyu",18.99,0.4024
16:59:47,2025-08-13,29.2,NO,BUY,"Tlingg",0.10,0.9966
16:54:13,2025-08-13,28.2,NO,BUY,"0x3f45...C6EC",5.00,0.8226
16:15:41,2025-08-13,28.0,NO,BUY,"0x8074...8a79",19.99,0.2852
16:43:11,2025-08-13,27.5,YES,BUY,"0x7079...6643",24.99,0.9078
16:49:15,2025-08-13,27.5,NO,SELL,"0x3f45...C6EC",-1.48,0.9464
16:57:49,2025-08-13,26.4,YES,BUY,"0xB650...445f",24.80,0.9395
